Cust_Id,American Beauty,The Wedding Planner,Pirates of the Caribbean: The Curse of the Black Pearl,50 First Dates,What Women Want,The Bourne Supremacy,Lord of the Rings: The Fellowship of the Ring,Braveheart,Ghost,Men in Black II,The Last Samurai,Bruce Almighty,Shrek 2,Finding Nemo (Widescreen),The Sixth Sense,The Italian Job,Beijing Bicycle,Pearl Harbor,Pulp Fiction,Forrest Gump,Lord of the Rings: The Two Towers,Swordfish,Spider-Man 2,Lost in Translation,The Rock,Twister,Mystic River,John Q,Double Jeopardy,Men in Black,Two Weeks Notice,Troy,Gladiator,The Patriot,Lethal Weapon 4,Kill Bill: Vol. 1,How to Lose a Guy in 10 Days,The Shawshank Redemption: Special Edition,The Matrix,Ocean's Eleven,Independence Day,The Day After Tomorrow,Sweet Home Alabama,Con Air,The Green Mile,The Fugitive,Titanic,Indiana Jones and the Last Crusade,National Treasure,The Terminal
1333,4.0,,2.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,2.693266832917706,4.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,,1.0,1.0,4.0,5.0,2.0,,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0
3321,4.0,,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,2.5347107438016527,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,2.0,5.0,5.0,,4.0,4.0,3.0,5.0,5.0,4.0,4.0,,,4.0,5.0,4.0,4.0,5.0,4.0,4.0
10268,4.0,3.0,3.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.2297817715019255,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
10374,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.013024602026049,,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
11043,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.76117496807152,4.0,1.0,5.0,4.0,5.0,5.0,,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
12812,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.4754335260115607,3.0,5.0,4.0,4.0,3.0,4.0,,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
16272,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,,3.0,3.0,3.0,3.0,4.0,5.0,3.0,2.8349146110056926,3.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
16273,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,4.0,,4.0,4.0,3.446958981612447,4.0,4.0,4.0,5.0,3.0,5.0,,3.0,,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0
21823,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,3.4057788944723617,2.0,3.0,,5.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
27061,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.994100294985251,,5.0,5.0,,5.0,5.0,,5.0,5.0,,,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,,,5.0,,5.0,,5.0
